,Date,Low,High,Close,Open
951,2016-03-02,108.77,110.55,109.95,109.68
952,2016-03-03,108.54,110.3,109.58,110.25
953,2016-03-04,107.93,110.05,108.39,110.05
954,2016-03-07,104.72,108.07,105.73,108.07
955,2016-03-08,104.4,107.37,105.93,104.78
956,2016-03-09,105.49,107.51,107.51,106.7
957,2016-03-10,105.7699,108.66,107.32,107.91
958,2016-03-11,107.92,109.42,109.41,108.48
959,2016-03-14,108.77,110.33,109.89,109.28
960,2016-03-15,108.84,110.83,110.67,109.11
961,2016-03-16,110.1,112.5,112.18,110.49
962,2016-03-17,110.73,112.69,111.02,112.15
963,2016-03-18,110.27,112.42,111.45,111.56
964,2016-03-21,111.03,112.37,111.85,111.66
965,2016-03-22,111.17,112.88,112.25,111.36
966,2016-03-23,112.0,113.19,112.54,112.01
967,2016-03-24,111.68,113.09,113.05,112.13
968,2016-03-28,112.95,114.5889,113.69,113.32
969,2016-03-29,113.64,116.32,116.14,113.83
970,2016-03-30,114.355,116.99,114.7,116.73
971,2016-03-31,113.7682,115.01,114.1,114.7
972,2016-04-01,113.35,116.17,116.06,113.75
973,2016-04-04,111.61,114.55,112.55,114.07
974,2016-04-05,111.9,113.32,112.22,112.11
975,2016-04-06,112.42,113.81,113.71,112.47
976,2016-04-07,113.0663,114.89,113.64,113.79
977,2016-04-08,109.9,114.33,110.63,114.25
978,2016-04-11,108.77,110.91,108.99,110.7
979,2016-04-12,108.99,111.1645,110.61,109.34
980,2016-04-13,106.52,112.65,110.51,112.23
981,2016-04-14,110.26,112.04,110.84,110.62
982,2016-04-15,109.2,110.97,109.64,110.79
983,2016-04-18,109.2,110.81,110.45,109.74
984,2016-04-19,109.16,112.45,112.29,111.1
985,2016-04-20,111.56,113.27,112.42,112.43
986,2016-04-21,112.31,114.04,113.44,112.55
987,2016-04-22,109.01,111.75,110.56,111.21
988,2016-04-25,109.07,110.67,110.1,109.87
989,2016-04-26,108.15,110.5,108.76,110.49
990,2016-04-27,106.31,108.94,108.89,107.94
991,2016-04-28,116.23,120.79,116.73,119.575
992,2016-04-29,115.84,117.84,117.58,116.82
993,2016-05-02,116.57,118.73,118.57,117.83
994,2016-05-03,117.02,118.16,117.43,117.52
995,2016-05-04,116.57,118.3,118.06,116.61
996,2016-05-05,117.25,118.98,117.81,118.04
997,2016-05-06,117.1127,119.637,119.49,117.16
998,2016-05-09,118.9,120.28,119.24,119.54
999,2016-05-10,114.8,120.5,120.5,119.62
1000,2016-05-11,119.42,121.08,119.52,120.41
1001,2016-05-12,118.9,120.84,120.28,119.98
1002,2016-05-13,119.68,120.64,119.81,120.38
1003,2016-05-16,117.35,119.61,118.67,119.38
1004,2016-05-17,117.2,119.01,117.35,118.82
1005,2016-05-18,116.73,118.27,117.65,116.8
1006,2016-05-19,115.88,117.49,116.81,117.05
1007,2016-05-20,116.95,117.99,117.35,116.96
1008,2016-05-23,115.94,117.6,115.97,117.42
1009,2016-05-24,116.12,117.73,117.7,116.24
1010,2016-05-25,117.38,118.665,117.89,118.13
1011,2016-05-26,117.92,119.7601,119.47,118.24
1012,2016-05-27,119.01,119.85,119.38,119.56
1013,2016-05-31,118.121,120.1,118.81,119.46
1014,2016-06-01,117.82,119.08,118.78,118.5
1015,2016-06-02,118.22,119.44,118.93,118.69
1016,2016-06-03,117.86,118.98,118.47,118.975
1017,2016-06-06,118.36,119.43,118.79,118.62
1018,2016-06-07,117.67,119.3,117.76,119.24
1019,2016-06-08,117.27,118.6,118.39,117.76
1020,2016-06-09,117.71,118.68,118.56,118.13
1021,2016-06-10,116.26,118.11,116.62,117.54
1022,2016-06-13,113.31,115.48,113.95,115.0
1023,2016-06-14,113.58,114.95,114.94,114.07
1024,2016-06-15,114.07,115.44,114.6,115.3
1025,2016-06-16,112.94,114.5,114.39,113.87
1026,2016-06-17,112.56,114.43,113.02,114.42
1027,2016-06-20,112.75,114.72,113.37,113.77
1028,2016-06-21,113.97,115.2142,114.38,114.12
1029,2016-06-22,113.61,114.74,113.91,114.65
1030,2016-06-23,113.54,115.09,115.08,114.37
1031,2016-06-24,111.0,113.68,112.08,111.01
1032,2016-06-27,108.23,111.57,108.97,111.57
1033,2016-06-28,110.55,112.75,112.7,110.63
1034,2016-06-29,113.04,114.25,114.16,113.37
1035,2016-06-30,113.67,115.18,114.28,114.67
1036,2016-07-01,113.81,115.13,114.19,114.2
1037,2016-07-05,112.97,114.11,114.0,113.94
1038,2016-07-06,112.97,116.79,116.7,113.36
1039,2016-07-07,115.36,116.97,115.85,116.63
1040,2016-07-08,115.85,117.5,117.24,116.43
1041,2016-07-11,117.5,118.7,117.87,117.71
1042,2016-07-12,117.57,118.72,117.93,118.63
1043,2016-07-13,116.68,118.4,116.78,118.39
1044,2016-07-14,116.7,117.64,117.29,117.5
1045,2016-07-15,116.58,118.28,116.86,117.74
1046,2016-07-18,116.89,119.61,119.37,117.32
1047,2016-07-19,118.66,120.85,120.61,118.99
1048,2016-07-20,120.56,122.2,121.92,121.25
1049,2016-07-21,120.25,122.1,120.61,121.92
1050,2016-07-22,119.31,121.01,121.0,119.9
1051,2016-07-25,117.78,121.85,121.63,121.39
1052,2016-07-26,120.75,122.07,121.22,122.0
1053,2016-07-27,121.51,125.0,123.34,122.42
1054,2016-07-28,123.63,128.33,125.0,127.52
1055,2016-07-29,123.71,125.84,123.94,124.65
1056,2016-08-01,122.86,124.58,124.31,123.85
1057,2016-08-02,122.07,124.8,123.09,124.06
1058,2016-08-03,122.31,123.92,122.51,123.09
1059,2016-08-04,122.51,124.79,124.36,122.94
1060,2016-08-05,124.6184,125.835,125.15,124.98
1061,2016-08-08,124.55,125.45,125.26,125.25
1062,2016-08-09,124.53,126.09,125.06,125.34
1063,2016-08-10,124.54,125.48,124.88,125.07
1064,2016-08-11,124.75,125.38,124.9,125.2
1065,2016-08-12,124.18,125.0,124.88,124.7
1066,2016-08-15,123.7,124.92,123.9,124.91
1067,2016-08-16,122.78,123.92,123.3,123.5
1068,2016-08-17,122.85,124.38,124.37,123.66
1069,2016-08-18,123.64,124.26,123.91,124.01
1070,2016-08-19,123.28,124.157,123.56,123.6
1071,2016-08-22,123.11,124.83,124.15,123.33
1072,2016-08-23,124.25,125.09,124.37,124.51
1073,2016-08-24,123.09,124.69,123.48,124.47
1074,2016-08-25,123.1,124.37,123.89,123.12
1075,2016-08-26,123.91,125.19,124.96,124.05
1076,2016-08-29,124.35,126.73,126.54,124.35
1077,2016-08-30,125.15,126.6,125.84,126.6
1078,2016-08-31,125.1,126.22,126.12,125.6
1079,2016-09-01,125.6,126.63,126.17,126.38
1080,2016-09-02,126.0,126.86,126.51,126.85
1081,2016-09-06,126.47,129.94,129.73,126.67
1082,2016-09-07,129.95,131.98,131.05,130.04
1083,2016-09-08,129.81,131.08,130.27,130.92
1084,2016-09-09,127.1,129.949,127.1,129.71
